label,ulasan
1,"Secara keseluruhan saya menyukai aplikasi ini, tetapi masih ada beberapa masalah. Beberapa di antaranya adalah ketika memasang spoiler ke media, sebagian besar masih tidak berfungsi. Yang lainnya (dan jujur, yang paling menjengkelkan) adalah ketika saya menggunakan obrolan suara,   sering secara otomatis menutup sendiri setelah beberapa waktu saat saya sedang bermain ... Full Review"
1,"  sebenarnya adalah aplikasi yang sangat bagus dan layak. Tetapi mengapa saya memberi peringkat 4/5 karena kami tidak dapat mengirim catatan suara (alias VN). Terkadang ketika saya setengah bangun atau ketika keyboard saya lag, saya tidak dapat mengetik, yang berarti saya tidak dapat membalas SMS orang. Catatan suara sebenarnya sangat berguna bagi sebagian orang! kami tidak memiliki... Ulasan Lengkap"
1,"Jujur luar biasa. Saya menganggap ini platform media sosial terbaik di luar sana. Opsi keamanan yang mudah namun hebat dan notifikasi yang dapat disesuaikan. Pada awalnya agak sulit untuk dinavigasi tetapi begitu Anda mendapatkannya, itu sangat mudah. Fleksibilitas   sangat bagus, dan fitur tak terbatas membuatnya menyenangkan... Ulasan Lengkap"
1,"Saya beri 4 bintang karena versi PC memiliki fitur untuk berpindah akun secara instan-- tetapi versi CP tidak. Sangat nyaman digunakan jika kita bisa berpindah akun semudah versi PC. Selain itu, MB untuk mengirim foto dan video terlalu terbatas. Bahkan dengan itu, itu masih aplikasi yang bagus. Hanya... Ulasan Lengkap"
0,"1. Autoscroll ke bawah tidak dapat dinonaktifkan yang sangat mengganggu saat membaca riwayat obrolan. 2. Saat mencari sesuatu dan memilih hasil, Anda tidak dapat kembali ke daftar semua hasil pencarian. (Anda dapat mengklik tombol pencarian lagi, tetapi scoll akan diatur ulang) Ini bukan ilmu roket. Sebuah... Ulasan Lengkap"
1,Benar-benar waktu yang baik menggunakan aplikasi ini. Saya bisa mengobrol dengan teman-teman saya dan berbagi banyak hal bersama. Saya berharap ukuran pengiriman video sedikit lebih besar karena saya dapat mengurangi klip game menjadi beberapa detik dan masih melebihi 8mb. Saya juga ingin bertanya apakah Anda dapat menambahkan fitur di mana saya masih dapat ... Ulasan Lengkap
1,"Ini adalah aplikasi yang bagus dan sangat mudah digunakan, tetapi Anda tetap tidak dapat membagikan video sama sekali kecuali dari bot, ketika Anda mencoba video tersebut tidak dapat diputar dan tidak dapat diunduh, ia akan mengatakan bahwa itu telah diunduh tetapi tidak dapat' t muncul di mana saja di ponsel Anda. Dan bahkan dengan pembaruan terbaru, bug ini belum diperbaiki. Dan untuk... Ulasan Lengkap"
1,"Aplikasi hebat, menyelesaikan masalah dengan cepat jika ada. Namun sesuatu yang telah mengganggu saya untuk sementara waktu adalah kenyataan bahwa tidak ada fitur Audio di Direct Messages. Sesuatu di mana Anda dapat dengan mudah merekam dan mengirim audio pendek. Akan meningkatkan banyak aplikasi dan membuat banyak hal lebih mudah."
1,"  adalah aplikasi sosial yang cukup bagus, pada perangkat yang dioptimalkan untuknya. Galaxy Tab s7+ menggunakan antarmuka smartphone  , padahal seharusnya menggunakan antarmuka yang sudah tersedia di ipads, atau hanya menempatkan versi desktop ke android. Mode DeX lebih sama, ekstrimnya... Ulasan Lengkap"
1,"Bekerja sebagaimana dimaksud di luar panggilan. Namun ketika dalam panggilan untuk sesi yang lama, aplikasi perlahan-lahan menurunkan kinerjanya saat aplikasi digunakan. Ini akan mengambil lag sampai akhirnya membeku dan crash. Masalah ini telah hadir untuk sementara waktu sekarang dan itu sangat mengecewakan. Untuk referensi masalah ini tampaknya ... Ulasan Lengkap"
1,"Bekerja dengan lancar dan baik. Senang memiliki saluran yang berbeda untuk mengatur percakapan. Juga suka bahwa itu tidak terkait dengan nomor telepon atau kartu SIM. Tidak ada kompresi otomatis untuk mengirim gambar seperti yang ada di  , sehingga tidak mudah untuk mengirim gambar. Itu tidak selalu stabil untuk grup ... Ulasan Lengkap"
1,Saya telah bertemu begitu banyak teman baik dan bergabung dengan beberapa komunitas yang luar biasa dengan  ! Itu telah mengubah hidup saya! Suka antarmuka dan penggunaan emoji khusus. Saya selalu bersemangat tentang pembaruan baru. Ada beberapa bug yang mengganggu - untuk beberapa alasan terkadang emoji kustom akan berhenti bekerja!! ... Ulasan Lengkap
1,"Aplikasi luar biasa untuk bermain game dengan teman-teman Anda. Agak rumit dan membingungkan pada awalnya, tetapi sangat menyenangkan dan dapat disesuaikan saat Anda terbiasa dengannya. Anda memiliki banyak opsi dan fitur untuk dikerjakan. Saya sangat menikmati peran dan sistem kekuatan yang ada di   dan itu cukup ... Ulasan Lengkap"
1,"Ini sebenarnya aplikasi yang sangat bagus! Ada banyak fitur yang bisa sangat membantu dalam segala hal; dan ada banyak pengguna yang cukup ramah. Padahal, mungkin ada sisi buruk bagi anak-anak yang menggunakan aplikasi tersebut. Beberapa orang mungkin mengirim foto dan/atau kalimat yang tidak pantas, Tapi saya cukup yakin ... Ulasan Lengkap"
0,"  telah menjadi aplikasi integral dalam kehidupan sosial saya, itulah sebabnya saya merasa kesal setiap kali saya masuk, saya langsung disambut dengan Student Hub tidak peduli berapa kali saya menolak. Akan lebih mudah jika saya bisa menonaktifkan notifikasi sama sekali. Juga, ada dua bug di aplikasi. Satu ketika ... Ulasan Lengkap"
1,"aplikasi yang bagus. saya berbicara dengan semua teman saya di sini dan kemampuan untuk menjelajahi server yang berbeda dan bahkan membuat server Anda sendiri luar biasa, ini adalah kesempatan besar untuk bertemu orang baru. yang mengejutkan saya, saya belajar banyak tentang budaya yang berbeda hanya dari bertemu orang baru di server dan mengenal mereka. ... Ulasan Lengkap"
1,Umumnya aplikasi hebat dengan beberapa bug. Ada bug besar dengan menggunakan emote dari server lain daripada yang Anda ketik. Ini terjadi ketika emote dibagikan di beberapa server tetapi dengan kapitalisasi yang berbeda. Masalah ini telah berlangsung selama lebih dari setahun. Bikin penasaran apa gunanya... Full Review
0,"Oke, jadi pada satu titik   bagus, dan itu masih untuk perpesanan, tetapi untuk panggilan suara itu benar-benar mengerikan karena setiap kali saya menelepon dan membuka aplikasi lain, tak lama setelah itu menendang saya dari panggilan, memaksa saya untuk harus kembali ke  , bergabung kembali dengan panggilan, lalu kembali ke aplikasi yang saya ... Ulasan Lengkap"
1,"Aplikasi yang bagus untuk terhubung dengan orang-orang. Juga cara yang baik untuk berkomunikasi dengan teman jarak jauh. Sulit untuk mengirim apa pun tanpa   nitro, karenanya empat bintang saya. Anda hanya dapat mengirim file video yang sangat kecil dan gambar besar terpaksa diturunkan kualitasnya. Bagi yang ingin bisa ... Full Review"
1,Saya suka aplikasi ini. Saya menggunakannya setiap hari dan tidak menemukan banyak bug dan masalah dalam waktu yang saya habiskan di dalamnya. Meskipun baru-baru ini saya mengalami masalah dengan audio dalam panggilan. Misalnya saya sedang menelepon dan saya tidak bisa berbicara. Ini menunjukkan bahwa saya aktif berbicara tetapi orang lain tidak dapat mendengar saya untuk... Ulasan Lengkap
0,"Mengapa tidak ada satu suara notifikasi? Selama bertahun-tahun saya memiliki suara notifikasi tertentu. Saya memilih untuk aplikasi ini. Sekarang setiap saluran diam atau saya harus mengatur suara itu? Mencoba menelurkan percakapan dalam pengaturan notifikasi? Ini adalah kegilaan. Itu tidak rusak! Sesuatu terjadi, saya... Ulasan Lengkap"
1,"Pembaruan: Baru saja melihat pembaruan baru hari ini (23/4) dan semuanya tampaknya sudah diperbaiki. Pembaruan terakhir memecahkan sesuatu. Saya pernah mengalami masalah kelambatan di masa lalu, tetapi sekarang setiap kali saya membuka  . Saya tidak dapat berpindah server selama hampir satu menit. Pesan tidak dimuat, tidak tahu apa yang akan terjadi jika saya mencoba... Ulasan Lengkap"
1,"Ini adalah aplikasi yang bagus, tetapi Ada beberapa hal yang cukup membantu yang tidak didapatkan oleh pengguna ponsel, seperti misalnya pemutar audio. Harus mengunduh sampel audio hanya untuk mendengarkannya adalah hal yang sangat menyakitkan... Terutama bagi produser seperti saya yang banyak berurusan dengan mereka. Tapi selain itu baik-baik saja. Cukup banyak... Ulasan Lengkap"
1,"Saya telah menggunakan aplikasi untuk tetap berhubungan dengan teman-teman IRL dan aplikasi ini mudah digunakan dan relatif bebas bug. Satu-satunya masalah yang pernah saya hadapi adalah ketika mengklik gambar, terkadang aplikasi akan membawa Anda kembali ke pesan terbaru (bawah atau layar) daripada di mana Anda telah mengeklik p... Full Review"
0,"saya mengalami beberapa masalah dengan aplikasi. dibutuhkan seperti 5-10 detik untuk akhirnya terhubung dan mengalami masalah seperti saya berkeliling server dan dms yang berbeda. terkadang saya mengirim pesan dan butuh beberapa waktu untuk muncul. mungkin hanya masalah dengan versi beta, saya tidak... Ulasan Lengkap"
1,"Sejujurnya, ini adalah aplikasi yang cukup bagus, memiliki fitur yang hebat, dll. Tetapi   terkadang tidak berfungsi dengan baik. Ketika saya selesai mengobrol dengan teman-teman saya, saya logout. Tapi saat saya login kembali, tertulis "" Network Error "" padahal Wi-Fi saya oke dan kuat sekalipun. Saya tidak tahu apakah hanya saya yang... Ulasan Lengkap"
0,Bug notifikasi telah diperbaiki. Tapi sekarang ada masalah baru: itu terus mendaftarkan gambar yang disimpan ke galeri ponsel saya bahkan setelah dihapus secara permanen. Itu juga tidak akan mendaftarkan gambar yang baru diunduh sampai saya memindahkannya ke folder lain. Tolong perbaiki ini dengan cepat. Masalahnya masih per... Ulasan Lengkap
0,"aplikasi untuk sebagian besar benar-benar hebat!! tetapi saya telah mengalami masalah selama beberapa bulan di mana fungsi spoiler tidak berfungsi dan saya harus merusak gambar secara manual di luar aplikasi. dan sejak saya mendapat telepon baru, ada masalah di mana setiap kali saya menelepon dan saya keluar dari aplikasi atau membiarkan ... Ulasan Lengkap"
1,Aplikasi ini sangat bagus untuk server game serta server studi. Konsumsi datanya tidak terlalu banyak namun jika bisa dikurangi itu akan sangat bagus. Saya telah lama menjadi pengguna dan satu-satunya hal yang tidak saya sukai adalah antarmuka untuk pengguna seluler. Saya menggunakannya di web maupun seluler dan... Ulasan Lengkap
1,"Ini adalah aplikasi yang dibuat dengan baik dan berfungsi 99% dari waktu serta versi browser. Namun, ada beberapa masalah yang saya alami seperti menu yang hilang (misalnya, pengaturan notifikasi, dan status yang ditetapkan), dan aplikasi yang terkadang membeku yang mengharuskan saya untuk memulai ulang. Juga, sejauh yang saya lihat,... Ulasan Lengkap"
0,Membeku dan menabrak. Masih masalah. Jarang. Tetapi faktanya peredam bising tidak berfungsi? Mengganggu untuk sedikitnya. Pengurangan suara pada dasarnya adalah yang paling banyak dilakukan pada saat ini. Dan jika saya mengaktifkan opsi itu entah bagaimana mengurangi kebisingan lebih baik. Apa gunanya masa depan jika pada dasarnya... Ulasan Lengkap
1,"Saya sangat menyukai perselisihan dan telah menjadi bagian dari kehidupan saya sehari-hari. Saya akan memberikannya 5 bintang jika bukan karena bug yang sangat mengganggu di aplikasi seperti mengklik foto dan ketika mundur, menggulirnya ke bagian paling bawah saluran. Juga mengubah avatar saya, saya harus mengirim spam tombol simpan yang kedua ... Ulasan Lengkap"
1,"Ini adalah Aplikasi yang hebat, tetapi baru-baru ini saya menemukan hal-hal yang rusak dan hal-hal yang tidak saya sukai. Sebagian besar waktu ketika saya menekan lama saluran dan memintanya untuk ditandai sebagai telah dibaca, itu berfungsi beberapa kali, lalu berhenti bekerja bersama-sama. Mengapa saya tidak dapat mengkloning saluran di server saya di aplikasi seluler seperti... Ulasan Lengkap"
1,"Satu hal, aplikasinya oke. Tapi yang saya temukan adalah Anda memberi pengguna iPhone pada dasarnya setiap fitur yang dimiliki desktop, jika tidak lebih. Saya ingin melihat siapa yang tersisa di server saya. Saya ingin melakukan hal-hal yang biasanya dapat saya lakukan di desktop. Selain itu, aplikasi terkadang tidak berfungsi saat melakukan sesuatu yang biasanya... Ulasan Lengkap"
1,"Aplikasi hebat, berguna untuk tetap berhubungan dengan saudara perempuan saya dan bf jarak jauhnya. Pengembang dengan cepat memperbaiki masalah apa pun yang muncul. Meskipun demikian, saya memang menemukan masalah kecil dengan pengiriman foto, gambar mini yang paling baru cenderung digantikan oleh foto lama yang dihapus. Selain itu... Ulasan Lengkap"
1,"Itu sempurna pada awalnya tetapi sekarang untuk beberapa alasan itu terus membeku / Mengatakan itu tidak merespons setiap menit atau lebih di perangkat Android saya untuk beberapa alasan aneh, itu tidak melakukan ini sebelumnya. Saya sudah mencoba begitu banyak untuk mencoba memperbaikinya tetapi tidak ada yang saya lakukan untuk memperbaikinya. Saya bahkan mencopot dan memasangnya kembali lebih dari 5... Ulasan Lengkap"
1,"itu sempurna untuk berbicara, tetapi ketika saya kembali ke aplikasi itu selalu memberi tahu saya tentang hal-hal seperti ""bergabung dengan server sekolah Anda"" atau sesuatu seperti itu, dan juga gambar saya terkadang tidak dimuat, juga yang dari teman saya, saya harus kembali keluar dari perselisihan sepenuhnya setidaknya tiga kali untuk memperbaikinya dan ... Ulasan Lengkap"
1,Aku menyukainya! Sangat mudah digunakan dan Anda dapat masuk ke mode gelap dengan mudah. Kustomisasinya juga luar biasa! Satu hal yang saya tidak suka adalah kenyataan bahwa maksimal orang dalam grup DM adalah 10. Saya tahu bahwa banyak orang berjuang dengan ini dan beberapa hanya tidak ingin membuat server. Mungkin dalam waktu dekat ini bisa kalian buat... Full Review
0,"Bosan mencoba mengelola peringatan mikro dari berbagai saluran, jadi saya mematikan pemberitahuan push di pengaturan aplikasi. Saya masih mendapat notifikasi, jadi saya uninstall. Untuk menambahkan: Saya memiliki klien desktop yang diinstal pada PC rumahan yang tidak menyala kecuali saya di rumah menggunakannya. Saya sedang bekerja ketika aplikasi menjadi ... Ulasan Lengkap"
1,"aplikasi keren, meskipun saya harus menunggu setidaknya 2-5 menit, tidak masalah apakah saya memiliki koneksi terbaik atau terburuk, bagi saya untuk dapat mengklik server. Selama menunggu, saya tidak dapat mengeklik server, menanggapi pesan, atau beralih saluran jika saya telah keluar dari aplikasi di server. Saya sudah mencoba menginstal ulang, meskipun itu tidak... Ulasan Lengkap"
0,"Saya sudah lama menyukai snap, tetapi baru-baru ini saya sangat diperparah dengan bug baru yang membuat akun tidak dapat diakses. Sahabat saya telah berulang kali dilarang masuk bahkan dengan informasi masuk yang benar serta mengubah kata sandi. Saya telah mengalaminya hanya sekali, tetapi dia ... Ulasan Lengkap"
0,"Saya tidak suka bagaimana kebisingan latar belakang tidak dapat dihilangkan ketika saya mencoba mendengarkan musik di headphone saya saat saya merekam Snap. Musik terdengar halus melalui earphone saat Snap sedang direkam. Tetapi begitu Anda mengeluarkan earphone untuk melihat pratinjau Snap yang baru saja Anda rekam, latar belakangnya ... Ulasan Lengkap"
0,"Memiliki banyak masalah dengan aplikasi baru-baru ini. Membuka aplikasi, kamera sering hitam dan saya harus me-restart aplikasi agar berfungsi. Sudah secara acak menambahkan orang ke foto ketika mereka mengirim, jadi gambar akan dikirim ke seseorang yang saya ajak bicara secara aktif.. bersama dengan seseorang yang belum saya ajak bicara untuk kita... Ulasan Lengkap"
0,"Saya biasanya tidak punya masalah dengan Snap. Namun akhir-akhir ini, saya dapat membuat video dan ketika saya pergi untuk menontonnya, itu memotong seluruh video hanya dalam beberapa detik. Saya sudah mencoba memperbarui dan menginstal ulang tetapi tidak berhasil. Saya melaporkan masalah dalam aplikasi sekitar seminggu yang lalu dan sepertinya tidak ada... Ulasan Lengkap"
0,"Saya dulu suka  , tetapi sudah berbulan-bulan dengan masalah yang sama: setiap kali saya mencoba masuk, dikatakan mereka tidak dapat menemukan kredensial yang cocok. Username benar, password benar dan bahkan berhasil diubah beberapa kali untuk berjaga-jaga. Tidak ada apa-apa. Lucunya, kredensial secara ajaib benar dan... Ulasan Lengkap"
1,Saya suka  . Ini benar-benar cara yang menyenangkan untuk berkomunikasi dengan keluarga teman dan rekan kerja saya. Banyak hal di sana untuk menghibur Anda dan banyak cara unik untuk tetap berhubungan. Tapi istri saya dan saya telah mengalami masalah di sini akhir-akhir ini. Kami telah kehilangan aplikasi yang menyediakan suara notifikasi untuk bidikan dan... Ulasan Lengkap
1,"Aplikasi ini sangat bagus! Saya senang bisa berbicara dengan orang-orang di sana. Satu-satunya masalah yang saya miliki, adalah saya tidak dapat memasukkan aplikasi ke mode gelap bahkan jika saya membuka pengaturan di ponsel saya dan mengklik opsi pengembang, memaksa mode gelap, dan kembali ke aplikasi. Masih dalam tema ringan. Saya tunanetra dan saya ... Ulasan Lengkap"
1,"Yang menyenangkan untuk berbicara dengan teman-teman dan snap orang lain. Tapi baru-baru ini bug telah terlihat. Setiap kali saya mencoba masuk ke obrolan, itu tidak menunjukkan apa-apa. Itu hanya tertinggal. Dan filter tertentu juga lag. Ini adalah aplikasi yang bagus, tetapi memiliki banyak bug. Maksud saya daftarnya terus bertambah. Itu hanya sebagian kecil dari perjuangan saya.... Full Review"
1,"Ini adalah aplikasi yang bagus, tetapi untuk beberapa alasan sekarang ketika saya pergi untuk melihat ""rol kamera"" saya (bukan foto saya yang disimpan), itu hanya akan menunjukkan kepada saya foto dari April 2022 dan tidak ada yang lain. Meskipun saya memiliki lebih banyak foto di ponsel saya yang dicadangkan di perangkat saya sendiri. Perlu juga dicatat bahwa beberapa foto itu '... Ulasan Lengkap"
0,"Saya tidak suka melihat halaman Discover. Saya tidak tahu mengapa tidak ada opsi untuk menonaktifkannya jika Anda mau. Saya sekarang mulai takut ketika seorang teman memposting di cerita mereka, karena saya tahu saya akan melihat beberapa konten yang tidak nyaman langsung dari kelelawar, bahkan untuk sesaat. Saya telah menghapus beberapa aplikasi... Ulasan Lengkap"
1,"Sekali lagi, suka  , tetapi bisakah Anda membuat daftar putar untuk musik & suara lain yang disimpan di   saya? Senang sekali kami dapat menambahkan musik, dan menyimpan lagu & suara lainnya sebagai favorit. Juga, silakan tambahkan lebih banyak lagu & band country & rock untuk suara. Juga, menurut pendapat saya,... Ulasan Lengkap"
1,"Pengguna lama (10+), menurut saya aplikasi ini menyenangkan dan informatif, tetapi sulit untuk menahan iklan. Perlu ada opsi berlangganan untuk menghapus iklan, saya akan membayarnya! Ini diatur untuk menampilkan acara saat ini, tetapi Anda mendapatkan gangguan setiap 10 atau 15 detik oleh iklan. Tidak cukup sering kita diberi... Ulasan Lengkap"
0,"Saya suka snap chat, tetapi akhir-akhir ini terus mati tanpa alasan. Tidak dapat membuka pesan atau mengambil gambar apa pun karena aplikasi langsung mogok. Masalah lainnya adalah ketika saya merekam video, perekaman berhenti setelah beberapa detik. Mudah-mudahan masalah theee bisa diperbaiki. Saya tidak dapat ... Ulasan Lengkap"
1,"Semua filter benar-benar luar biasa! Saya suka bahwa Anda dapat secara otomatis terhubung dengan orang lain di kontak Anda. Anda dapat mengobrol dan menelepon. Juga terhubung dengan karakter bitmoji Anda sendiri. Sungguh menakjubkan meskipun saya berharap jika Anda meletakkan akun Anda di gadget lain, Anda masih dapat melihat semua gambar tanpa... Ulasan Lengkap"
0,"Baru-baru ini saya mengalami masalah dengan fitur musik. Setiap kali saya menambahkan musik ke snap saya, kedengarannya bagus dalam pengeditan tetapi ketika saya mempostingnya, itu dimulai dari awal ketika memposting video yang lebih panjang yang rusak. Ini menjengkelkan untuk bisnis kecil saya dan sebanyak saya menyukai aplikasinya, saya mungkin tidak ... Ulasan Lengkap"
0,"Sebagai pengguna Android,   selalu mogok setiap kali seseorang mengirimi saya pesan 5+ kali berturut-turut. Saya selalu harus me-restart telepon saya dan tidak akan bekerja sampai 3 atau 2 jam kemudian. Anda harus mencopot pemasangan aplikasi dan memasangnya kembali. Saya suka permainannya dan bagaimana Anda bisa menelepon teman Anda juga. Begitu banyak variasi... Ulasan Lengkap"
0,"Dalam pengalaman saya, ini adalah aplikasi yang bagus tetapi selama beberapa bulan terakhir saya mengalami masalah, itu mungkin hanya untuk akun saya karena saya sudah mencoba yang lain dan mereka bekerja dengan sangat baik tetapi akun saya sangat lambat dan hal-hal hanya tidak memuat dengan benar. Saya sudah mencoba mencari orang lain yang mengalami... Full Review"
0,"Saya sengaja mendownload versi lama dari sebelum ada story block karena semakin parah saja. Dengan berapa banyak uang yang mereka hasilkan, mengapa mereka tidak mempekerjakan seorang programmer yang baik. Kerusakan semakin parah dan fitur-fiturnya adalah segalanya yang tidak saya inginkan. Setelah 6 tahun digunakan dan masih sampah.... Full Review"
0,Saya biasanya tidak memiliki masalah dengan   tetapi   terus-menerus membatalkan penambahan teman baru dan kadang-kadang bahkan tidak mengizinkan saya meminta untuk menambahkan mereka kembali sampai mereka melakukannya sendiri. Sangat menjengkelkan ketika saya berbicara dengan seseorang selama beberapa hari tetapi mereka menghilang dari daftar teman saya. Saya tahu mereka... Ulasan Lengkap
0,Aplikasi itu sendiri tidak buruk. Tentu saja ada banyak gangguan kecil tapi saya bisa mengatasinya. 2 hal yang paling membuat frustrasi adalah bahwa aplikasi tidak lagi mengirimi saya pemberitahuan ketika saya mendapatkan snap jika saya menutup  . Jika saya meminimalkannya maka saya akan mendapatkan pemberitahuan .... kadang-kadang. Saya sudah memeriksa... Ulasan Lengkap
1,"Anda tahu apa yang lebih baik yang saya temukan? Ketika Anda akhirnya berhasil mencapai akhir video tanpa terganggu dan Anda ingin melihat beberapa detik terakhir lagi, Anda harus melewati jalan ke akhir dari awal karena Anda tidak dapat mencadangkan ke bagian terakhir dari awal. layar berlangganan! ... Ulasan Lengkap"
0,"Iklan Konstan. Pengalaman buggy. Rentetan pemberitahuan konstan. Fitur privasi invasif. Wastafel baterai. UI sangat intuitif. Tidak dapat disangkal, aplikasi perpesanan terburuk yang ada. Hanya menggunakannya yang entah bagaimana itu satu-satunya utusan yang bekerja di daerah padat padat. (Membuat saya bertanya-tanya jujur, o... Full Review"
0,"Panggilan dan panggilan video menyebalkan. Panggilan video buram dan akan mengatakan menyambungkan kembali sebagian besar waktu terputus, jangan sambungkan kembali. Atau panggilan itu tidak berdering tetapi menunjukkan orang itu mencoba menelepon. Snap perlu memperbaiki masalah ini. Tidak masalah jika Anda berada di negara bagian Anda sendiri atau di luar negara bagian... Ulasan Lengkap"
0,"Snap yang diterima tidak dapat dimuat dari teman, aplikasi tidak selalu memberi tahu Anda ketika Anda memiliki snap atau obrolan baru, terkadang macet dan Anda tidak dapat menggunakan aplikasi sama sekali.... hampir seperti   tidak ingin kami menggunakannya . Saya muak mengobrol dengan teman/keluarga saya melalui foto dan tidak... Ulasan Lengkap"
0,"Silakan ubah kembali pengaturan flash pada layar ponsel atau perbaiki. Sangat menjengkelkan untuk digunakan sekarang, saya sering menggunakannya di malam hari dan itu sangat terang di mata saya dan gambarnya tetap gelap. Saya tidak pernah memperbarui aplikasi saya sampai saya terpaksa setelah aplikasi menjadi terlalu usang untuk digunakan dan inilah ... Ulasan Lengkap"
